"business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes","categories","hours"
"cv-Fmj7s5kdJfnu_dJTyow","Nashville Chiropractic","917 8th Ave S, Ste C","Nashville","TN","37203","36.1457988","-86.7794576","5.0","7","1","{acceptsinsurance=True, businessacceptscreditcards=True, byappointmentonly=True, wifi=u'free'}","Chiropractors, Health & Medical","{wednesday=15:0-18:0, thursday=15:0-17:0, friday=8:0-13:0, tuesday=8:0-13:0, monday=0:0-0:0}"
"UcYdJARGqmGduRNKYyhIuQ","Pep Boys","6022 Gunn Hwy","Tampa","FL","33625","28.062855","-82.549433","3.5","16","1","{businessacceptscreditcards=True}","Auto Repair, Automotive, Tires, Oil Change Stations","{sunday=9:0-17:0, saturday=7:0-19:0, tuesday=8:0-18:0, wednesday=8:0-18:0, thursday=8:0-18:0, friday=7:0-19:0, monday=8:0-18:0}"
"gcJP4kRAaWNu_d8SdYmGnQ","Bliss CBD Wellness Market","13721 N Dale Mabry Hwy","Tampa","FL","33618","28.0706214","-82.5055541","4.0","6","1","{businessacceptscreditcards=True, bikeparking=True, wifi=u'free', wheelchairaccessible=True, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, acceptsinsurance=False, dogsallowed=True, businessacceptsbitcoin=True}","Health & Medical, Doctors, Shopping, Cannabis Dispensaries, Naturopathic/Holistic, Vitamins & Supplements","{sunday=12:0-18:0, saturday=10:0-19:0, tuesday=10:0-19:0, wednesday=10:0-19:0, thursday=10:0-19:0, friday=10:0-19:0, monday=0:0-0:0}"
"72XVowaU7C8yWjBHMBCSFA","Viviano Heating & AC","201 W Main St","Collinsville","IL","62234","38.6696448","-89.9876702","4.0","7","1","{businessacceptscreditcards=True, byappointmentonly=False}","Home & Garden, Appliances, Home Services, Dry Cleaning & Laundry, Local Services, Heating & Air Conditioning/HVAC, Shopping","{sunday=0:0-0:0, saturday=0:0-0:0, tuesday=0:0-0:0, wednesday=0:0-0:0, thursday=0:0-0:0, friday=0:0-0:0, monday=0:0-0:0}"
"Gkg9pCCoyYpqGt_EejOi2A","El Presidio Bed & Breakfast Inn","297 N Main Ave","Tucson","AZ","85701","32.2255169","-110.9758579","4.5","5","1",,"Event Planning & Services, Bed & Breakfast, Hotels & Travel, Hotels",
"cNwftoapvakCh1jPhUIjhA","Lansdowne Dry Cleaners","44 W Baltimore Ave","Lansdowne","PA","19050","39.9373515","-75.2731122","3.0","5","1","{restaurantspricerange2=1, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, wifi=u'no'}","Dry Cleaning & Laundry, Local Services, Dry Cleaning, Laundry Services","{saturday=8:0-18:0, tuesday=8:0-19:0, wednesday=8:0-19:0, thursday=8:0-19:0, friday=8:0-19:0, monday=8:0-19:0}"
"yqjA_Sd1c_aYPyaDyz3wbQ","Ulta Beauty","1619 Walnut St, Fl 1","Philadelphia","PA","19103","39.9500869","-75.1683553","3.0","125","0","{restaurantspricerange2=2, businessparking={'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, businessacceptscreditcards=True, byappointmentonly=False, bikeparking=True}","Beauty & Spas, Cosmetics & Beauty Supply, Shopping, Skin Care, Hair Salons","{sunday=11:0-18:0, saturday=10:0-20:0, tuesday=10:0-20:0, wednesday=10:0-20:0, thursday=10:0-20:0, friday=10:0-20:0, monday=10:0-20:0}"
"looMp6c1telXP9-k7yOUKQ","7 Oil","","Cinnaminson","NJ","08077","39.9969646","-74.9927693","3.5","18","1","{businessacceptscreditcards=True, byappointmentonly=True}","Building Supplies, Contractors, Home Services, Heating & Air Conditioning/HVAC","{saturday=7:0-19:0, tuesday=7:0-19:0, wednesday=7:0-19:0, thursday=0:0-0:0, friday=0:0-0:0, monday=7:0-19:0}"
"JDtG3M0fW4Q0BgWTALRCvw","Piazza Acura of West Chester - Service","1330 Wilmington Pike","West Chester","PA","19382","39.903682","-75.5669246","2.0","6","1",,"Automotive, Auto Repair","{saturday=8:0-17:0, tuesday=7:0-19:0, wednesday=7:0-19:0, thursday=7:0-19:0, friday=7:0-18:0, monday=7:0-19:0}"
"61wYOnnFmWoXF3x_bJz2vQ","Orange Leaf Frozen Yogurt","9930 Kennerly Rd","St. Louis","MO","63128","38.5068402","-90.3765972","3.0","7","0","{restaurantspricerange2=1, restaurantstakeout=True, businessacceptscreditcards=True, wifi=u'no', bikeparking=True, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}","Do-It-Yourself Food, Ice Cream & Frozen Yogurt, Food, Desserts","{sunday=12:0-21:0, saturday=12:0-22:0, tuesday=12:0-21:0, wednesday=12:0-21:0, thursday=12:0-21:0, friday=12:0-22:0, monday=12:0-21:0}"
"ziboGqQp73ft2yU5H-ZN3Q","JCPenney","3236 Kirkwood Hwy","Wilmington","DE","19808","39.734935","-75.624777","2.5","8","1","{restaurantspricerange2=2, businessparking=None, businessacceptscreditcards=True, bikeparking=False}","Baby Gear & Furniture, Women's Clothing, Men's Clothing, Home & Garden, Appliances, Department Stores, Fashion, Shopping, Children's Clothing","{sunday=7:0-18:0, saturday=10:0-21:0, tuesday=7:0-22:0, wednesday=10:0-21:0, thursday=10:0-21:0, friday=10:0-21:0}"
"6yLtlDGlADXFv1UgxBJb8A","J. Joseph Salon","18861 State Rd 54","Lutz","FL","33558","28.195023","-82.503639","4.0","51","1","{restaurantspricerange2=2, businessacceptscreditcards=True, goodforkids=True, bikeparking=False, wifi=u'free', wheelchairaccessible=True, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, byappointmentonly=False, businessacceptsbitcoin=False, hairspecializesin={'straightperms': True, 'coloring': True, 'extensions': True, 'africanamerican': True, 'curly': True, 'kids': True, 'perms': True, 'asian': True}}","Makeup Artists, Waxing, Day Spas, Hair Salons, Hair Removal, Beauty & Spas, Hair Extensions","{sunday=11:0-17:0, saturday=8:0-19:0, tuesday=8:0-20:0, wednesday=8:0-20:0, thursday=9:0-16:0, friday=8:0-20:0, monday=0:0-0:0}"
"fm0Of_JK18tcA9rPBpXEIA","Bronx Pizzeria","7689 S Virginia St, Ste A","Reno","NV","89511","39.4572972","-119.7796963","4.0","44","0","{alcohol=u'beer_and_wine', businessacceptscreditcards=True, wifi=u'free', goodforkids=True, restaurantsreservations=False, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, caters=True, restaurantsgoodforgroups=True, restaurantsattire=u'casual', restaurantspricerange2=2, restaurantstakeout=True, ambience={'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, restaurantsdelivery=True, noiselevel=u'average', hastv=True, outdoorseating=False}","Italian, Food, Pizza, Restaurants","{sunday=11:0-21:0, saturday=11:0-22:0, tuesday=11:0-21:0, wednesday=11:0-21:0, thursday=11:0-21:0, friday=11:0-22:0, monday=11:0-21:0}"
"6mv5UsVxpXpubursdimepg","Cipriani Remodeling Solutions","665 N Broad St","Woodbury","NJ","08096","39.846038","-75.147287","2.5","5","1","{businessacceptscreditcards=True, businessacceptsbitcoin=False}","Home Services, Interior Design, Shopping, Home & Garden, Architects, Professional Services, Contractors, Kitchen & Bath","{wednesday=9:0-18:0, thursday=9:0-18:0, friday=9:0-18:0, tuesday=9:0-18:0, monday=9:0-18:0}"
"HLiEkWfZhMN-EWGDOUQCLQ","New Hope Veterinary Clinic","5420 Hwy 41A","Joelton","TN","37080","36.3495087","-86.9360523466","3.0","5","1",,"Veterinarians, Pets, Pet Boarding, Pet Sitting, Pet Services","{saturday=8:0-12:0, tuesday=8:0-17:30, wednesday=8:0-17:30, thursday=8:0-17:30, friday=8:0-17:30, monday=8:0-17:30}"
"5Jta7dTc7lteIyeMfLUJWQ","Corner Oyster House","500 Saint Peter St","New Orleans","LA","70130","29.9567528","-90.0630602","2.5","651","1","{goodforkids=True, restaurantsreservations=True, byob=False, businessparking={u'valet': False, u'garage': False, u'street': None, u'lot': False, u'validated': False}, restaurantsgoodforgroups=True, restaurantsattire='casual', restaurantstakeout=True, restaurantspricerange2=2, restaurantstableservice=True, wheelchairaccessible=True, happyhour=True, noiselevel='average', restaurantsdelivery=True, dogsallowed=False, businessacceptsbitcoin=False, alcohol=u'full_bar', businessacceptscreditcards=True, bikeparking=True, wifi='no', caters=False, goodformeal={'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}, ambience={'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}, hastv=True, outdoorseating=True}","Seafood, Cajun/Creole, Restaurants","{sunday=10:0-22:0, saturday=10:0-23:0, tuesday=10:0-21:0, wednesday=10:0-21:0, thursday=10:0-21:0, friday=10:0-23:0, monday=10:0-21:0}"
"gJe195hTWCJu4y6Q9vSmcg","The Beer Hunter","7522 178 Street NW","Edmonton","AB","T5T 2Y5","53.5085575","-113.6313841","3.5","24","0","{goodforkids=False, restaurantsreservations=True, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, restaurantsgoodforgroups=True, restaurantsattire=u'casual', restaurantstakeout=True, restaurantspricerange2=2, music={'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}, restaurantstableservice=True, wheelchairaccessible=True, happyhour=True, restaurantsdelivery=False, noiselevel='average', dogsallowed=False, alcohol=u'full_bar', bikeparking=True, wifi=u'free', coatcheck=False, caters=True, goodformeal={'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, ambience={'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, hastv=True, bestnights={'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}, outdoorseating=True}","Bars, Nightlife, Pubs, Sports Bars, Canadian (New), American (Traditional), Restaurants","{sunday=11:0-0:0, saturday=11:0-2:0, tuesday=11:0-2:0, wednesday=11:0-2:0, thursday=11:0-2:0, friday=11:0-2:0, monday=11:0-1:0}"
"fpAr0vafPdisLY3euCh6DA","The STIL","3724 S Eckert Rd","Boise","ID","83716","43.5681349195","-116.1215679415","4.5","12","1","{businessparking={u'valet': False, u'garage': None, u'street': None, u'lot': None, u'validated': False}}","Food, Desserts, Gelato","{sunday=12:0-21:30, saturday=12:0-22:0, tuesday=13:0-21:30, wednesday=13:0-21:30, thursday=13:0-21:30, friday=12:0-22:0, monday=0:0-0:0}"
"x4855nj7vfdXeVpg5fREZA","1100 Social","1100 Pattison Ave","Philadelphia","PA","19148","39.9041687186","-75.1691288928","3.0","42","1","{alcohol=u'full_bar', businessacceptscreditcards=True, goodforkids=False, restaurantsreservations=True, bikeparking=True, wifi=u'no', businessparking={'garage': False, 'street': None, 'validated': False, 'lot': None, 'valet': False}, goodfordancing=False, restaurantsgoodforgroups=True, restaurantsattire='casual', restaurantspricerange2=2, restaurantstakeout=True, music={'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}, goodformeal={'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, restaurantstableservice=True, happyhour=True, ambience={'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}, noiselevel=u'average', restaurantsdelivery=False, smoking=u'no', hastv=True, bestnights={'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}, outdoorseating=True}","Bars, Nightlife, Restaurants, American (New)","{saturday=16:0-0:0, tuesday=16:0-22:0, wednesday=16:0-22:0, thursday=16:0-22:0, friday=16:0-0:0, monday=16:0-22:0}"
"foW9-4F2NrN4Q5qEKa11pA","J & W Tree Service","","Harahan","LA","70123","29.9404826","-90.2031313","3.5","7","1","{businessacceptscreditcards=False, byappointmentonly=True, businessacceptsbitcoin=False}","Firewood, Home Services, Tree Services","{wednesday=7:0-16:0, thursday=7:0-16:0, friday=7:0-16:0, tuesday=7:0-16:0, monday=7:0-16:0}"
"JiKUnNJAjJMpH5WH7Mt70A","Dave's Carpet & Window Cleaning","11155 S Towne Square Dr","Saint Louis","MO","63128","38.5150623","-90.3365747","4.0","12","1","{businessacceptscreditcards=True, byappointmentonly=True}","Flooring, Professional Services, Air Duct Cleaning, Carpet Cleaning, Window Washing, Home Services, Office Cleaning, Grout Services, Local Services","{wednesday=9:0-17:0, thursday=9:0-17:0, friday=9:0-17:0, tuesday=9:0-17:0, monday=0:0-0:0}"
"ecpBCBmInVvACywYRWxfZA","Elite Eye Group","707 Liberty Pl","Sicklerville","NJ","08081","39.747832","-75.001685","3.5","8","1","{businessacceptscreditcards=True, wifi=u'no', bikeparking=True, wheelchairaccessible=True, acceptsinsurance=True, byappointmentonly=True}","Eyewear & Opticians, Ophthalmologists, Shopping, Optometrists, Health & Medical, Doctors","{wednesday=8:0-17:0, thursday=9:30-18:0, friday=8:0-17:0, tuesday=8:0-17:0, monday=8:0-17:0}"
"mpGOvVJE2Yi-5AAPPYM3hw","Sweet Things and Grill","3301 General De Gaulle Dr","New Orleans","LA","70114","29.9266302944","-90.0262342504","2.5","9","0","{restaurantstakeout=True, restaurantspricerange2=2, businessacceptscreditcards=True, restaurantsreservations=False, goodforkids=True, ambience={'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}, restaurantsdelivery=False, hastv=True, restaurantsgoodforgroups=False, restaurantsattire='casual'}","Food, Food Delivery Services, Pizza, Restaurants, Italian, Donuts, Burgers, Bagels","{sunday=0:0-0:0, saturday=0:0-0:0, tuesday=0:0-0:0, wednesday=0:0-0:0, thursday=0:0-0:0, friday=0:0-0:0, monday=0:0-0:0}"
"8eZygtUFMqOlv_Q7DbOcGw","Pasco-Hernando State College","10230 Ridge Rd","New Port Richey","FL","34654","28.275821","-82.646329","4.0","8","1",,"Colleges & Universities, Education",
"frhneFo2jXnXAHnwzz78Pw","Mccullers Roofing","12087 62nd St N, Unit 5","Largo","FL","33773","27.8815693","-82.7195821","3.0","8","1","{businessacceptscreditcards=True, byappointmentonly=True, businessacceptsbitcoin=False}","Home Services, Waterproofing, Roofing","{sunday=7:0-15:0, saturday=7:0-15:0, tuesday=7:0-15:0, wednesday=7:0-15:0, thursday=7:0-12:0, friday=7:0-15:0, monday=0:0-0:0}"
"xgp51ruur0nK3nmsKPMvzw","Spruce Goose Farm","194 Bordentown Georgetown Rd","Chesterfield","NJ","08515","40.093648","-74.666433","2.0","5","1",,"Tree Services, Gift Shops, Flowers & Gifts, Home Services, Home & Garden, Shopping, Nurseries & Gardening","{sunday=9:0-17:0, friday=9:0-17:0, saturday=9:0-17:0, monday=9:0-17:0}"
"De9cMgsboKhZ8mDl_GK_xQ","23 East","23 E Lancaster Ave","Ardmore","PA","19003","40.0075945","-75.2900017","2.5","24","0","{alcohol=u'full_bar', restaurantspricerange2=1, businessacceptscreditcards=True, ambience={'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, noiselevel=u'very_loud', businessparking={'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, restaurantsgoodforgroups=True, outdoorseating=False}","Dive Bars, Nightlife, Bars, Music Venues, American (New), Adult Entertainment, Restaurants, Arts & Entertainment","{wednesday=22:0-2:0, thursday=21:0-2:0, friday=21:0-2:0, saturday=21:0-2:0}"
"XPkkWyAkkPeH-PqXmBMmpg","Santa Barbara Tours & Experiences","1500 Santa Barbara St","Santa Barbara","CA","93101","34.429487","-119.706043","5.0","5","1",,"Tours, Walking Tours, Hotels & Travel, Architectural Tours, Food Tours, Wine Tours","{sunday=13:45-18:0, friday=20:0-22:0, saturday=10:0-23:30}"
"K638hQel36ENK4rT0WroSg","Fitzgerald Used Car Outlet","23499 US Hwy 19N","Clearwater","FL","33765","27.986205","-82.7288109","4.0","18","1",,"Used Car Dealers, Auto Repair, Car Dealers, Automotive","{sunday=11:0-17:0, saturday=9:0-18:0, tuesday=9:0-20:0, wednesday=9:0-20:0, thursday=9:0-20:0, friday=9:0-20:0, monday=9:0-20:0}"
"6S7HIxBzSCJL0fkhiwR4AQ","Party N Dollar Plus Market","226 W Ridge Pike","Limerick","PA","19468","40.2247990363","-75.5142602632","1.5","7","1","{restaurantspricerange2=2, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, businessacceptscreditcards=True, bikeparking=True}","Shopping, Party Supplies, Flowers & Gifts, Event Planning & Services, Cards & Stationery, Arts & Crafts, Discount Store","{sunday=10:0-14:0, saturday=9:0-16:0, tuesday=10:0-18:0, wednesday=10:0-18:0, thursday=10:0-18:0, friday=10:0-18:0}"
"avYv0mKWJc8Y0Jr-VLnCAA","Enterprise Rent-A-Car","109 E Fowler Ave","Tampa","FL","33612","28.0535599","-82.4566115","2.0","5","1",,"Car Rental, Hotels & Travel","{wednesday=7:30-18:0, thursday=7:30-18:0, friday=7:30-18:0, tuesday=7:30-18:0, monday=7:30-18:0}"
"SLFAsXSTiOSy4wEqlukKwg","Looks Unlimited Salon & Spa","3518 W Overland Rd","Boise","ID","83705","43.5901028","-116.2258523","4.0","10","1","{restaurantspricerange2=2, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, byappointmentonly=True, bikeparking=True}","Hair Salons, Beauty & Spas",
"TD9MUTOXnXHZ07a7goOzww","Klein's Brand Source","10338 Lincoln Trl","Fairview Heights","IL","62208","38.5922085","-90.0002959","3.0","11","1","{restaurantspricerange2=3, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, businessacceptscreditcards=True}","Mattresses, Local Services, Shopping, Home & Garden, Appliances, Appliances & Repair","{sunday=12:0-17:0, saturday=9:0-17:0, tuesday=9:0-20:0, wednesday=9:0-20:0, thursday=9:0-20:0, friday=9:0-20:0, monday=9:0-20:0}"
"MHCH84BAFfYXyY-NujHG7Q","Sonora at The David Finney Inn","222 Delaware St","New Castle","DE","19713","39.659802","-75.564486","4.0","9","0","{alcohol=u'full_bar', businessacceptscreditcards=True, bikeparking=True, restaurantsreservations=True, wifi=u'free', byob=False, businessparking={'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, caters=True, restaurantstakeout=False, corkage=False, goodformeal={'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, restaurantstableservice=True, wheelchairaccessible=True, ambience={'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}, happyhour=True, restaurantsdelivery=False, dogsallowed=True, hastv=True, outdoorseating=True}","Restaurants, Comfort Food, American (New)","{sunday=10:0-23:0, thursday=11:0-23:0, friday=11:0-23:0, saturday=10:0-23:0, monday=11:0-21:0}"
"b1rMP7_HZOCAkSF2Sh-S4w","Indy Dental Group - North Meridian","9310 N Meridian St, Ste 200","Indianapolis","IN","46260","39.9234042","-86.1600319","3.5","6","1","{acceptsinsurance=True, businessacceptscreditcards=True, byappointmentonly=True}","Health & Medical, Cosmetic Dentists, Medical Centers, General Dentistry, Oral Surgeons, Periodontists, Dentists","{wednesday=8:0-17:0, thursday=8:0-18:0, friday=8:0-12:0, tuesday=8:0-17:0, monday=8:0-17:0}"
"1N45EwoVppdvctUan6IFEg","Turnersville Transmission Center","4791 Rte 42","Turnersville","NJ","08012","39.7462977","-75.0454968877","3.0","19","1","{businessacceptscreditcards=True, byappointmentonly=False}","Automotive, Transmission Repair, Auto Parts & Supplies, Auto Repair, Tires, Oil Change Stations","{saturday=8:0-12:0, tuesday=8:0-17:0, wednesday=8:0-17:0, thursday=8:0-17:0, friday=8:0-17:0, monday=8:0-17:0}"
"jI2j4n1UgKL9gWZfNFq-SA","Picasso's Pizzeria & Restaurant","550 Bridgeton Pike","Mantua","NJ","08051","39.7797511289","-75.185142839","3.5","7","1","{alcohol=u'none', businessacceptscreditcards=True, restaurantsreservations=False, goodforkids=True, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, restaurantsgoodforgroups=False, restaurantsattire=u'casual', restaurantstakeout=True, restaurantspricerange2=2, goodformeal={'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, restaurantstableservice=False, ambience={'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, restaurantsdelivery=True, noiselevel=u'average', hastv=True, outdoorseating=False}","Sandwiches, Pizza, Restaurants","{sunday=12:0-22:0, saturday=11:0-23:0, tuesday=11:0-22:0, wednesday=11:0-22:0, thursday=11:0-22:0, friday=11:0-23:0, monday=11:0-22:0}"
"F40eTD3J14SUJpyog5G2Ug","A-1 Express Airport Parking","5317 Avion Park Dr","Tampa","FL","33607","27.958796955","-82.5328738074","3.5","128","1","{businessacceptscreditcards=True}","Parking, Automotive","{sunday=0:0-0:0, saturday=0:0-0:0, tuesday=0:0-0:0, wednesday=0:0-0:0, thursday=0:0-0:0, friday=0:0-0:0, monday=0:0-0:0}"
"z65tiTFYszkAJ4NhLpkiBA","Adonis Theater","2026 Sansom St","Philadelphia","PA","19103","39.951228","-75.174488","2.0","7","1","{goodforkids=True}","Arts & Entertainment, Cinema, Performing Arts",
"b0L4T5t7uYzSvghTT6EVJQ","AAA Warrington","865 Easton Rd, Ste 100","Warrington","PA","18976","40.238823191","-75.1347864551","1.0","6","1","{businessacceptscreditcards=True}","Travel Services, Insurance, Auto Insurance, Hotels & Travel, Financial Services, Automotive, Auto Repair","{saturday=9:0-15:0, tuesday=9:0-17:30, wednesday=9:0-17:30, thursday=9:0-15:0, friday=9:0-15:0, monday=9:0-17:0}"
"LZszPUPczfQF9y_JdKlGKA","Barnes & Noble Booksellers","1701 Mallory Ln","Brentwood","TN","37027","35.966567","-86.814729","3.5","20","1","{restaurantspricerange2=2, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, businessacceptscreditcards=True, bikeparking=False}","Newspapers & Magazines, Books, Mags, Music & Video, Bookstores, Shopping, Music & DVDs, Toy Stores","{sunday=10:0-21:0, saturday=9:0-22:0, tuesday=9:0-21:0, wednesday=9:0-21:0, thursday=9:0-21:0, friday=9:0-22:0, monday=9:0-21:0}"
"dsYY-h_c3Mzcn1bH253HaA","Total Turf Experience","614 Lambs Rd","Mantua","NJ","08071","39.7376712","-75.1448089","2.0","34","1","{businessparking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, goodforkids=False, bikeparking=False}","Active Life, Sports Clubs","{sunday=9:0-23:0, saturday=9:0-23:0, tuesday=9:0-23:0, wednesday=9:0-23:0, thursday=9:0-23:0, friday=9:0-23:0, monday=9:0-23:0}"
"yb9sHpAnQ5bgdIRKFCEhQw","Accent Dermatology & Laser Center","622 Stokes Rd, Ste A","Medford","NJ","08055","39.8721121","-74.8123652","3.5","17","1",,"Doctors, Dermatologists, Beauty & Spas, Hair Removal, Health & Medical",
"VnVt8dvs-mPY4MSF5VqCeQ","Dollar General","2436 James L Redman Pkwy","Plant City","FL","33566","27.9878969","-82.1199953","3.5","5","1","{restaurantspricerange2=1, businessparking={'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, businessacceptscreditcards=True}","Grocery, Food, Shopping, Discount Store",
"UQTo3UswVcDtIQwiqGKaVQ","Havertown Roofing & Siding","37 Kathmere Rd","Havertown","PA","19083","39.9802458","-75.3026106","4.0","24","1","{byappointmentonly=True}","Roofing, Home Services",
"BnwPx4GPOfxXZk2G-6oDwQ","China Wok","209 Green Ln","Philadelphia","PA","19127","40.0292874","-75.2234981","4.0","58","1","{alcohol=u'none', businessacceptscreditcards=False, wifi=u'no', restaurantsreservations=False, goodforkids=True, bikeparking=True, businessparking={u'valet': False, u'garage': False, u'street': None, u'lot': False, u'validated': False}, restaurantsgoodforgroups=False, restaurantsattire=u'casual', restaurantspricerange2=1, restaurantstakeout=True, goodformeal={'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, restaurantstableservice=False, ambience={'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, noiselevel=u'quiet', restaurantsdelivery=True, hastv=True, outdoorseating=False}","Chinese, Restaurants","{sunday=12:0-22:0, saturday=11:0-23:0, wednesday=11:0-22:0, thursday=11:0-22:0, friday=11:0-23:0, monday=11:0-22:0}"
"nHP_NYJxVzx2gT2bC2uRsg","Beauty Secrets African Braids","1533 N Post Rd","Indianapolis","IN","46219","39.7882258","-86.0084609","3.5","5","1","{businessacceptscreditcards=True, byappointmentonly=False, bikeparking=False}","Hair Salons, Beauty & Spas","{saturday=8:30-22:0, tuesday=9:0-21:0, wednesday=9:0-21:0, thursday=9:0-21:0, friday=9:0-21:0, monday=9:0-21:0}"
