"review_id","user_id","business_id","stars","useful","funny","cool","text","date"
"5WNRkeki0IcAStUzoD9mbA","UhfwMkLPQTfKtQastfkPiA","VXAPhFVCpwUjG2JIYCHRnw","5.0","1","0","2","I was in Indy for a long weekend for my cousin's wedding. The wedding happened to fall on my three-year anniversary with my boyfriend, so we decided to celebrate that Thursday night (two days before the wedding). After researching restaurants close to our hotel, we decided on Mesh and I'm so happy we did! Our server (I can't remember his name) was so friendly and helpful and just seemed like a chill guy. The entire staff was like that, honestly, but I felt like our server went above and beyond.

Now on to the food- so delicious! They'd apparently just updated their menu earlier that day and wow, so good! We had the Brussels sprouts appetizer which was similar to an artichoke dip in texture. It was served with bread and had gruyere and bacon in it. As my entree, I had the shrimp with veggies. My boyfriend had steak frites. All wonderful and very large portions. We had leftovers of everything that we definitely ate later that night and even the next day.

The drinks were good and refreshing. And apparently on Thursday nights they do half-priced cocktails, so we got very lucky!

As if everything wasn't already wonderful, they didn't charge us for our appetizer because it was our anniversary and they'd run out of cake. I really didn't expect anything extra or complimentary, so that was really nice.

TL;DR: 10000% would go back, especially on a Thursday for half priced cocktails, excellent service and the Brussels sprouts appetizer.","2018-05-26 14:44:10"
"5VfqCoHvf09OojOXhH8_LQ","H0BaaiVOdLngY5jAS9oVtA","ZAW0xyAof374R-A121OP_Q","5.0","0","0","0","Great food and great service! We were able to eat as a large party and not have quality sacrificed.","2021-08-14 23:18:13"
"WR6R5zQdtVYexOK17_NDqA","_RjKq8EKmD3CYUn7pFzrsQ","5quqExjLtFNhykec_na8pg","4.0","1","0","0","This review is for takeout only! I ordered goat saag and Naan through Doordash. They order came quickly and was still hot when it arrived. The goat was tender but I felt a slightly small portion of meat in the actual dish which is why I took off a star. I'm sure this is great Indian food for Nashville but I find myself somewhat spoiled with the Indian food in NYC.","2021-07-15 15:49:09"
"RnYBJQqFcWahUP3C1bjQRQ","58nrTdwcqCa8AKWcNeTqNA","rBjqykRArlbvMhonVVisiQ","1.0","0","0","0","I went there this week to get my eyelashes done and really wanted it to be a good fit. Unfortunately, they're new to doing eyelash extensions and I wouldn't recommend them at this point. My eyes were puffy, burning and red, it smelled like they were using super glue, and ultimately I had to leave after having what they did removed. Not ready for prime time!","2019-10-27 00:59:37"
"hbU-SGw90I03SVPCcod1vQ","9l7C1njAHU1RWrpQ3dhujg","oWTakomAvtGSB85UwnIOSA","5.0","6","0","5","OK so I'm going to start off this review by declaring that I'm not a hugely spiritual person. Ghosts are probably real, but I've never sought this type of transaction. I was visiting New Orleans for work (and pleasure) and my boyfriend and I figured that while we're down here, we should do tarot cards or something of that nature. After checking it out on Yelp, decided to do the tea leaf reading, what Bottom of the Cup Tearoom is historically known for. $35 for 10 minutes, which is a lot, but whatever, when in New Orleans.

To make an appointment, I went into the store to set up a time that worked for mediums, and ended up getting one in an hour (around 3:30pm.) My boyfriend and I walked around for an hour and came back. A woman named Aurora Lee came out and called us back down a hallway to a small, curtained-off room where we both got our tea leaves read. You can do it alone with the medium or someone else can come with you - either way, she will still do the tea leaf reading for you and only you, and then do a separate one for the other person, if you do that like we did. Also worth noting that she let us know that tea leaf readings aren't the same as tarot in that it's not as precise, but she channels whatever spirits are around (so just keep that in mind.)

Aurora asked if I had any loved ones that I was close to that had passed. After letting her know it was my grandfather -- didn't say which side, but it was my Mom's dad I was thinking of -- she began the ritual. Asking me a series of questions that didn't quite match up with my grandfather in mind, but she did give some correct insight on my current travel and future travel, which was cool.

The weird thing was that she kept asking if trains meant anything to my grandfather, which they didn't. It was apparently what she kept seeing trains in tandem with my grandfather, and I was trying to rack my brains as to why she would say that because he had no interest in that. After asking my mom if that was a thing, she told me that not HER dad, but my DAD's dad worked for the railroad, and trains were how he immigrated from Mexico to the US. He passed a long time ago and I didn't know him.

So, as a person who doesn't particularly believe in all of this stuff, I got chills. They give you a recording of your reading as a parting gift, which is customary for mediums after they do a reading (gift giving, that is.) Believe what you want, but that's pretty on-point for me. Definitely do this if you're in New Orleans!","2017-10-30 19:10:34"
"GQNtBbLFWt0XBx9IPVVZmg","sEHCKyVdIHJBPNxEqqJqQQ","I_mCFePUG2MGuH-zuws7bA","4.0","0","0","0","So yummy! Vegan transitioning to raw diet this business helps me hold that commitment to myself with yummy treat meals that are still raw vegan!","2021-10-12 18:21:54"
"CXzBcUgmbJ0T6jIISKpaLQ","VMFvHkhhUYpJSKQs5AzA6A","94lT53cP7JrGm-7FTOIwSQ","4.0","0","0","0","She's great. She knows what she's doing. You just have to be firm if you don't want the eyebrow pencil or too square of a corner. But otherwise she does a wonderful job. I recommend this place to my family and friends.","2015-01-05 04:51:36"
"jjyW8TWgQISo9YkPkQzWdw","Kl46fiKrin0C2ViTNHqMog","pbrDl1xGdM9Vo34dxlcFow","5.0","2","0","0","Flavors are absolutely amazing, atmosphere is so calming. Veg combo lunch special is only $10 and plenty of food.","2018-05-05 17:18:16"
"zHeW6N-9rzfjvVMhB04jug","ET8n-r7glWYqZhuR6GcdNw","hHs2Ytn2QSHnFscnALsLlQ","4.0","5","2","8","I don't get down to The Industry as often as I'd like. This is one of the most laid-back, chill places to drink or grab a bite in the city. Worth a special mention is the service, which is always very friendly and accommodating. I really believe servers at The Industry stand out from the pack when compared with other restaurants of similar style. The environment is fun and the music is always varied and awesome.

The drinks are where it's at. The Ghost of Mary is one of my favorite cocktails ever and I will sing its praises to anyone interested in listening. The Mummer's Punch is a good time, and the beer list is great. Happy hour specials are on point.

I'm not as enthusiastic about the food as I am the drinks but there is still a lot left for me to try. I did really enjoy the wedge salad on my recent visit. I was dying to try the banana pound cake but there wasn't room for dessert. Instead, I went with a double espresso and it was so smooth and well-flavored that I ordered another. Often, I order espressos to get my caffeine fix. I got that, plus I actually really enjoyed the espresso itself. Looking forward to my next visit sooner rather than later.","2013-03-28 00:30:49"
"GakuMX1WnTU7s3vjhMIFmw","dZVPpzoWIdt7QuEDAHD9EQ","QHWYlmVbLC3K6eglWoHVvA","4.0","5","0","3","Food 4 / Ambience 5 / service 5.                          Hello friends today we are reviewing Datz a American diner with a mixed cultural menu. The shrimp n grits were my personal favorite. The grits were soft and creamy with a slight cheese flavor , the shrimp were decent quality nothing special I figured they'd have more flavor but the grits definitely carried them 8/10 . The 
 Truffle fries were perfectly cooked with Parmesan shavings paired with a nice herb aioli, my only issue was the lack of truffle flavor 6.5/10. The darth burger was decent I should've opted out of the blue cheese because I lost my love for that years ago lol 6.5/10 last but not least the Buffalo cauliflower , I always get this but this one like many others tasted the same. The Buffalo sauce had a lot of vinegar and the cauliflower was not as crispy as I anticipated 6/10. Service was phenomenal, my waiter Brooke was very attentive and checked frequently she was just exceptional all across the board . Thank you datz maybe next time I won't order so much so I have room for dessert :)","2021-01-15 17:53:30"
